,id,name,overall_rating,review_count,address,zip
58,_n0fEUZdbkLOimHz_IXkiQ,JOEY DTLA,4.0,2053,700 W 7th St,90017
59,TWHGJkTAbF22hvXeReQp9w,Kobawoo House,4.5,1358,698 S Vermont Ave,90005
60,-gZdC8aD42jiBeaAQH1-1g,Lolo,4.0,84,5140 W Sunset Blvd,90027
61,KF0iy1GeuDYm_1EyyVD6ig,TAO Asian Bistro,4.0,1365,6421 Selma Ave,90028
62,UN8HcPrLMRnUx3cv2D3-5A,Jail Joa,4.5,124,2500 W 8th St,90057
63,2XiO4xWGuSl5Bz1LQMQHQw,The Sisters Cafe,4.5,265,5910A W Sunset Blvd,90028
64,S3z6erO2TeljEc-dTPqc9Q,Firefly,4.0,2841,11720 Ventura Blvd,91604
65,KAG0aFy962JY38UeWI8pWQ,H&H Brazilian Steakhouse Downtown LA,4.5,815,518 W 7th St,90014
66,gd6PYDx-leOM97a3MWoO1g,Maccheroni Republic,4.5,3561,332 S Broadway,90013
67,h2u-coGd8WWClyU3b7jf8w,Met Her At A Bar,4.5,2181,759 S La Brea Ave,90036
68,K-Fbh2WCHlqR56H9TnfpNA,Perch,4.0,9363,448 S Hill St,90013
69,DJek3FUewBzMc0gS-Gms9w,Morrison Atwater Village,4.5,5762,3179 Los Feliz Blvd,90039
70,PI1TAMjFy1wO9OCiA-VWBA,Fixins Soul Kitchen - Los Angeles,4.5,879,800 W Olympic Blvd,90015
71,Dnn4_XmzQxOFNpnqh7KyWg,Seong Buk Dong,4.0,1198,3303 W 6th St,90020
72,UaxSpacBpGQrXv9Cytai2A,Woo Hyang Woo,4.5,856,3429 W 6th St,90020
73,PlQjtbZKOw7exAUfrswhNQ,The Kimbap,4.5,727,400 S Western Ave,90020
74,G55h6ynD4aFY0D_3TyAYpA,ABSteak By Chef Akira Back,5.0,123,8500 Beverly Blvd,90048
75,EWbbiUBkGzCYrEoOF05HzA,Gracias Madre - West Hollywood,4.0,4749,8905 Melrose Ave,90069
76,0vRsHjV66oUDcszA8EWq0w,Kali Restaurant,4.5,696,5722 Melrose Ave,90038
77,bOvnQYw5JJDhpOn70_RUkQ,OUI MELROSE,4.5,238,6909 Melrose Ave,90038
78,TkFEKhsCixPWlShULKvMdQ,Bottega Louie,4.0,17702,700 S Grand Ave,90017
79,BzmbRSKGs56Yw2w2R12khw,Hoy-Ka Thai Restaurant,4.5,2120,5908 Sunset Blvd,90028
80,MRfyb8R-M7rgJZzSOqbNJA,Magari,4.0,93,6115 Sunset Blvd,90028
81,3C2wUqSkpY4-N0O5ArVjwQ,Yuk Dae Jang,4.5,680,3033 W 6th St,90020
82,UdpE_5k2c3zsGBFdcAjMGA,Ruen Pair,4.0,1944,5257 Hollywood Blvd,90027
83,JxSNu4tMyiRe6WK7YW9GAg,MIAN | 滋味小面,4.0,279,5263 W Adams Blvd,90016
84,VqatIMkoea_OMvHaD2PwOw,KazuNori Koreatown,4.5,61,3465 W 6th St,90020
85,VjCMQkJviJquiJQEawPWfw,Meteora,4.0,114,6703 Melrose Avenue,90038
86,6b1Kud4nDwsqw1kILxI9ZQ,ixlb DimSum Eats,4.5,850,5900 Sunset Blvd,90028
87,_hHzOXG4SRkBIND2LZf4aQ,3rd Base LA,4.0,349,1562 N Cahuenga Blvd,90028
88,4Zx7Lw4U6F0sXrV4aiIyqQ,Majordomo,4.0,1184,1725 Naud St,90012
89,H57RMyO6BWWh-lJZAsZGVA,Superba Food + Bread,4.5,231,6530 Sunset Blvd,90028
90,ru7TAEo7lkbxMmkbFRGFMw,La Cevicheria,4.5,970,3809 W Pico Blvd,90019
91,VhKyyEcOll0rrOLAbZio3Q,SHIN,4.0,984,1655 N La Brea Ave,90028
92,ld3O8sfn0-z-JKBJdofz2g,Musso & Frank Grill,4.0,1967,6667 Hollywood Blvd,90028
93,7e9oi3zq_6pP_LU9YPEXLg,Rao's Hollywood,4.5,605,1006 Seward St,90038
94,0MbnNM2IvNWMQ1YsPfDTjQ,"The Butcher, The Baker, The Cappuccino Maker",4.0,2494,8653 W Sunset Blvd,90069
95,-ZcCFCdqMwOPXItB3REecA,Petit Trois,4.0,1029,718 N Highland Ave,90038
96,sSlFeRTzdCkkLO8mXBQG7Q,Marlou DTLA,4.5,151,819 S Flower St,90017
97,sHMQqLZqaMCZa5ICqpGiNg,Crab House,4.0,556,923 S Vermont Ave,90006
98,f8nMwVf1kYndUo8V1OdGjA,etta,4.5,594,8801 Washington Blvd,90232
99,CcqraT0cuGKYEcZ1ri_kxg,BROKEN MOUTH | Lee's Homestyle,5.0,1313,718 S Los Angeles St,90014
100,l9CyWFbCaU6Wk6b8Tc4i8Q,Sparrow,4.0,260,939 S Figueroa St.,90015
101,fxeuGYnoRWwm5aGDg1FRJA,Marugame Monzo,4.5,4262,329 E 1st St,90012
102,cD57FLQ-v-brcFOLZ0X0cQ,LA Rose Cafe,4.0,1112,4749 Fountain Ave,90029
103,LMLrEzn4MG0fExw4iMpWgg,Whistlin' Dixie,5.0,271,1523 N La Brea Ave,90028
104,oGryd1oetQO0gUuikkh90A,Bari,4.5,74,8422 W 3rd St,90048
